Actual_DO,Actual_pH,Actual_BOD,Predicted_DO,Predicted_pH,Predicted_BOD,Actual_WQI,Predicted_WQI,Actual_Category,Predicted_Category
7.0,7.92,3.3,6.6689715,7.7969565,3.470657,71.25714285714287,69.10539,Good,Medium
7.3,7.98,3.4,6.998609,7.873113,3.391369,71.89999999999999,70.90292,Good,Good
7.1,8.02,3.5,7.3219633,7.931718,3.4020863,70.12857142857143,72.20422,Good,Good
7.7,8.08,3.4,7.113524,7.9452605,3.4647207,73.47142857142856,70.72819,Good,Good
7.8,7.96,3.5,7.7649617,8.033815,3.3781986,73.88571428571429,74.124985,Good,Good
7.7,7.94,3.2,7.772652,7.970323,3.4858632,75.27142857142857,73.78956,Good,Good
7.3,7.82,3.4,6.4924583,7.7201314,3.8436358,72.58571428571427,66.3142,Good,Medium
6.8,7.8,3.8,7.198307,7.807584,3.533226,67.77142857142857,71.33111,Medium,Good
7.0,7.78,3.5,6.7074623,7.7798676,3.7233067,70.65714285714286,67.85519,Good,Medium
6.6,7.72,3.7,6.902426,7.7808967,3.553018,67.71428571428571,69.84732,Medium,Medium
7.2,7.82,3.3,6.5794134,7.7572675,3.612245,72.68571428571428,67.978165,Good,Medium
7.0,7.93,3.5,7.167112,7.822529,3.3931336,70.01428571428572,71.95164,Good,Good
7.2,7.88,3.4,6.963052,7.8641853,3.491322,71.82857142857142,70.16368,Good,Good
7.4,7.95,3.3,7.1571407,7.86173,3.4316628,73.12857142857143,71.5026,Good,Good
7.0,7.95,3.6,7.4136825,7.915373,3.3563251,69.32857142857144,73.00743,Medium,Good
7.5,8.22,3.5,6.920231,7.8867745,3.547266,71.27142857142857,69.5171,Good,Medium
7.4,7.93,3.6,7.747249,8.13079,3.4372683,71.41428571428573,73.2664,Good,Good
7.4,7.9,3.5,7.450719,7.9510336,3.5561047,72.14285714285714,71.84111,Good,Good
7.7,7.37,1.0,8.303738,7.656571,1.8142754,90.91428571428571,87.81916,Excellent,Good
7.9,7.66,1.4,7.27765,7.627824,1.9054487,88.27142857142857,82.264885,Good,Good
8.0,7.65,1.5,7.6388316,7.649956,1.8430684,88.21428571428571,84.35023,Good,Good
7.4,7.57,1.7,7.737117,7.6437445,1.8300815,84.35714285714285,84.9462,Good,Good
7.6,7.56,1.4,7.3806715,7.650587,1.9076028,87.19999999999999,82.66951,Good,Good
7.4,7.66,2.8,7.3682175,7.659932,1.8075044,77.37142857142858,83.167786,Good,Good
7.1,7.83,1.9,7.328327,7.5503073,2.0004783,80.54285714285713,82.280304,Good,Good
8.2,7.6,2.2,7.3022504,7.600856,1.7472076,85.22857142857143,83.45291,Good,Good
8.5,8.04,1.5,7.579829,7.5952725,1.8266741,89.04285714285714,84.38793,Good,Good
8.4,7.72,2.5,7.871599,7.6966677,1.5756748,83.91428571428571,86.918236,Good,Good
7.3,7.76,1.8,7.5765843,7.5892787,1.8653734,82.44285714285714,84.16521,Good,Good
8.1,8.2,1.0,7.3941298,7.6372275,1.8241112,89.35714285714286,83.29501,Good,Good
7.3,7.5,1.1,7.716293,7.7300434,1.623914,87.75714285714287,85.70922,Good,Good
7.4,7.78,1.4,7.2703314,7.6860614,1.7005767,85.25714285714285,83.20794,Good,Good
7.7,7.62,1.0,7.271116,7.694869,1.72458,89.84285714285714,83.03009,Good,Good
8.0,7.45,1.5,7.4045877,7.696,1.6067203,89.07142857142857,84.399765,Good,Good
7.7,7.81,1.2,7.6996846,7.6865826,1.7105049,87.82857142857142,85.2929,Good,Good
8.3,7.33,1.4,7.411194,7.6938615,1.5928646,91.68571428571428,84.525085,Excellent,Good
7.3,7.58,1.6,7.660847,7.576346,1.6072676,84.41428571428571,86.190575,Good,Good
7.3,7.58,1.6,7.2825155,7.591079,1.6605656,84.41428571428571,83.91599,Good,Good
7.2,7.52,1.4,7.293278,7.560033,1.5998232,85.37142857142857,84.467316,Good,Good
8.0,8.0,1.2,7.1882296,7.5266685,1.4872026,88.51428571428572,84.76079,Good,Good
8.2,8.1,1.6,7.494823,7.655707,1.4025688,86.68571428571428,86.248535,Good,Good
8.0,7.51,1.8,7.554742,7.676339,1.45017,87.01428571428572,86.174095,Good,Good
7.7,7.72,1.7,7.145716,7.7592945,1.7738748,85.21428571428571,81.831215,Good,Good
7.0,7.68,1.5,7.5726504,7.6921062,1.8055314,83.08571428571429,84.06389,Good,Good
7.9,7.71,1.7,7.001851,7.7139454,1.898215,86.25714285714285,80.5602,Good,Good
7.5,7.79,1.1,7.5813794,7.6976223,1.7311351,87.5142857142857,84.53028,Good,Good
7.2,7.92,2.8,7.227943,7.7483306,1.7114854,75.25714285714285,82.66367,Good,Good
7.7,7.53,1.4,7.140935,7.6428695,1.9527149,87.82857142857142,81.23323,Good,Good
