Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
6.8,7.5,1.3,6.956702,7.557656,1.5266035,92.0,92.0,Excellent,Excellent
6.7,7.5,1.2,7.0430346,7.5378294,1.477742,92.0,92.0,Excellent,Excellent
6.9,7.6,1.2,6.9909306,7.5440016,1.4833633,92.0,92.0,Excellent,Excellent
6.9,7.6,1.3,7.057798,7.5572844,1.4585071,92.0,92.0,Excellent,Excellent
6.8,7.6,1.3,7.0560617,7.5677085,1.4809899,92.0,92.0,Excellent,Excellent
6.9,7.5,1.4,7.0237155,7.5718966,1.4884061,92.0,92.0,Excellent,Excellent
7.0,7.4,1.2,7.069733,7.5529623,1.4770286,92.0,92.0,Excellent,Excellent
7.0,7.4,1.3,7.0765705,7.538154,1.4413887,92.0,92.0,Excellent,Excellent
7.0,7.6,1.3,7.091907,7.5273385,1.4390316,92.0,92.0,Excellent,Excellent
7.0,7.6,1.2,7.093957,7.539486,1.4435997,92.0,92.0,Excellent,Excellent
7.1,7.6,1.2,7.0835285,7.5404196,1.4361055,92.0,92.0,Excellent,Excellent
7.2,7.4,1.2,7.108909,7.536738,1.4258802,92.0,92.0,Excellent,Excellent
7.1,7.4,1.3,7.1448417,7.5005617,1.4045565,92.0,92.0,Excellent,Excellent
6.8,7.6,1.4,7.1295853,7.4983873,1.415396,92.0,92.0,Excellent,Excellent
7.0,7.6,1.1,7.04609,7.5270486,1.4615914,92.0,92.0,Excellent,Excellent
6.9,7.6,1.2,7.0775537,7.5274715,1.4167571,92.0,92.0,Excellent,Excellent
7.0,7.4,1.2,7.0612454,7.5280676,1.4308358,92.0,92.0,Excellent,Excellent
7.0,7.5,1.1,7.0922174,7.4941835,1.414354,92.0,92.0,Excellent,Excellent
7.1,7.6,1.2,7.084454,7.505846,1.4083409,92.0,92.0,Excellent,Excellent
7.1,7.6,1.2,7.110863,7.519526,1.4095591,92.0,92.0,Excellent,Excellent
7.3,7.6,1.1,7.1050854,7.5242047,1.4111428,92.0,92.0,Excellent,Excellent
7.1,7.5,1.2,7.1444936,7.519946,1.3877878,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.1095285,7.5068674,1.4079272,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.1573215,7.514392,1.3930976,92.0,92.0,Excellent,Excellent
7.3,7.6,1.1,7.133157,7.5058384,1.4022272,92.0,92.0,Excellent,Excellent
7.2,7.6,1.2,7.1419,7.5232706,1.38708,92.0,92.0,Excellent,Excellent
7.2,7.6,1.2,7.1262546,7.5215235,1.3999019,92.0,92.0,Excellent,Excellent
6.9,7.6,1.1,7.126615,7.520339,1.400253,92.0,92.0,Excellent,Excellent
7.4,7.5,1.1,7.04391,7.5351906,1.4189844,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.1628942,7.503415,1.3813522,92.0,92.0,Excellent,Excellent
7.0,7.5,1.1,7.1464596,7.518291,1.3922068,92.0,92.0,Excellent,Excellent
7.0,7.6,1.2,7.067841,7.5158625,1.4103367,92.0,92.0,Excellent,Excellent
7.4,7.6,1.3,7.076433,7.52745,1.4148189,92.0,92.0,Excellent,Excellent
7.4,7.6,1.3,7.181063,7.5130243,1.396113,92.0,92.0,Excellent,Excellent
7.4,7.7,1.3,7.180886,7.513818,1.3981526,92.0,92.0,Excellent,Excellent
7.4,7.7,1.3,7.177627,7.5330334,1.401768,92.0,92.0,Excellent,Excellent
7.1,7.8,1.2,7.175251,7.537621,1.4061345,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.0833845,7.579837,1.4256637,92.0,92.0,Excellent,Excellent
7.2,7.7,1.2,7.138465,7.5296164,1.4081197,92.0,92.0,Excellent,Excellent
7.0,7.6,1.3,7.105132,7.5539274,1.4177676,92.0,92.0,Excellent,Excellent
7.0,7.7,1.3,7.0655107,7.5385747,1.4471952,92.0,92.0,Excellent,Excellent
7.3,7.6,1.3,7.0518184,7.563252,1.4563162,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.1459885,7.535252,1.4260721,92.0,92.0,Excellent,Excellent
7.1,7.6,1.1,7.1321917,7.536912,1.416944,92.0,92.0,Excellent,Excellent
7.2,7.4,1.1,7.061724,7.548734,1.4302621,92.0,92.0,Excellent,Excellent
7.2,7.4,1.1,7.102252,7.51367,1.4177756,92.0,92.0,Excellent,Excellent
7.1,7.6,1.3,7.104126,7.5108085,1.4143504,92.0,92.0,Excellent,Excellent
7.3,7.8,1.1,7.0960855,7.5326824,1.4307721,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.1359134,7.5782237,1.3876256,92.0,92.0,Excellent,Excellent
7.7,7.6,1.1,7.138507,7.526742,1.4032896,92.0,92.0,Excellent,Excellent
7.4,7.6,1.1,7.231075,7.5179935,1.3686807,92.0,92.0,Excellent,Excellent
7.4,7.6,1.1,7.1623945,7.522867,1.3831701,92.0,92.0,Excellent,Excellent
7.2,7.6,1.2,7.1629653,7.5209947,1.3808694,92.0,92.0,Excellent,Excellent
7.1,7.5,1.1,7.1245847,7.5216365,1.4028916,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.09459,7.5142875,1.4065654,92.0,92.0,Excellent,Excellent
8.0,7.6,1.1,7.149839,7.5180793,1.3930478,100.0,92.0,Excellent,Excellent
7.2,7.6,1.2,7.3041506,7.5075746,1.3491925,92.0,92.0,Excellent,Excellent
7.8,7.6,1.1,7.132726,7.525545,1.4041479,92.0,92.0,Excellent,Excellent
7.2,7.7,1.2,7.2721233,7.5160556,1.3605741,92.0,92.0,Excellent,Excellent
8.0,7.5,1.2,7.1239147,7.546487,1.4058485,100.0,92.0,Excellent,Excellent
7.2,7.4,1.2,7.3235006,7.4960394,1.3649273,92.0,92.0,Excellent,Excellent
8.0,7.4,1.2,7.154475,7.496143,1.4056613,100.0,92.0,Excellent,Excellent
7.0,7.8,1.2,7.3477526,7.4759536,1.3651512,92.0,92.0,Excellent,Excellent
7.0,7.6,1.3,7.0919623,7.5666246,1.4216845,92.0,92.0,Excellent,Excellent
7.0,7.8,1.2,7.1035867,7.5261645,1.42965,92.0,92.0,Excellent,Excellent
7.0,7.6,1.1,7.082933,7.5717573,1.4258218,92.0,92.0,Excellent,Excellent
7.0,7.6,1.2,7.080633,7.542004,1.4171882,92.0,92.0,Excellent,Excellent
7.8,7.5,1.1,7.088591,7.5389204,1.4249506,92.0,92.0,Excellent,Excellent
7.9,7.3,1.1,7.2852554,7.503813,1.3640654,92.0,92.0,Excellent,Excellent
8.2,7.6,1.1,7.332472,7.4733744,1.3466966,100.0,92.0,Excellent,Excellent
9.8,7.6,1.0,9.881719,7.778226,0.945263,100.0,100.0,Excellent,Excellent
9.0,7.5,1.0,9.811515,7.703202,0.95526814,100.0,100.0,Excellent,Excellent
9.6,7.8,1.0,9.463888,7.6944017,1.0177583,100.0,100.0,Excellent,Excellent
10.8,7.5,1.2,9.705588,7.768049,0.9627198,100.0,100.0,Excellent,Excellent
9.6,7.4,1.0,10.216587,7.616057,0.9666712,100.0,100.0,Excellent,Excellent
9.8,7.4,1.0,9.745739,7.625577,0.97995377,100.0,100.0,Excellent,Excellent
9.8,7.7,1.0,9.830017,7.617481,0.968012,100.0,100.0,Excellent,Excellent
9.8,7.9,1.0,9.850984,7.735381,0.9601195,100.0,100.0,Excellent,Excellent
9.6,7.53,1.0,9.842254,7.7912354,0.964761,100.0,100.0,Excellent,Excellent
9.6,7.56,1.0,9.7872505,7.690687,0.9754313,100.0,100.0,Excellent,Excellent
9.8,7.68,1.2,9.787851,7.698745,0.9722587,100.0,100.0,Excellent,Excellent
9.8,7.94,1.0,9.87718,7.7331476,1.002659,100.0,100.0,Excellent,Excellent
9.0,7.05,1.2,9.850535,7.7974205,0.96199024,100.0,100.0,Excellent,Excellent
9.6,7.8,1.2,9.485948,7.497686,1.0750355,100.0,100.0,Excellent,Excellent
9.0,8.16,1.4,9.691568,7.7557316,1.099496,100.0,100.0,Excellent,Excellent
